JobTitle,CompanyName,ApprovedOn,SalaryMin,SalaryMax,PrettySalary,Skills,WorkingLocations,JobType,JobLevel,CompanySize,LanguageSelected
Senior Database Administration Specialist,FE CREDIT,2/8/2022,1000,1500,Thương lượng,"ETL,SQL,Oracle,MS SQL DBA;",Hồ Chí Minh,toàn thời gian,Nhân viên,"10,000-19,999 Nhân viên",Bất kỳ
Intern/fresher DevOps,Công Ty TNHH Boxgates,2/14/2022,430,660,Thương lượng,"JavaScript,NodeJS,Business Analysis,Support Analysts,IT Admin;",Hồ Chí Minh,khác,Mới tốt nghiệp/Thực tập sinh,10-24 Nhân viên,Bất kỳ
Sales Manager Cyber Security - Salary Up To 1500$,Công Ty TNHH Phần Mềm Bcg,2/14/2022,650,950,Thương lượng,"English,Sales Management,Cybersecurity,Bán Hàng;",Hồ Chí Minh,toàn thời gian,Nhân viên,100-499 Nhân viên,Bất kỳ
(Urgent) Java Backend Developer,"Tek Experts Co., Ltd",2/14/2022,500,1000,Thương lượng,"Java,Java Springboot,Restful API Design,Back-End;",Khác,toàn thời gian,Nhân viên,500-999 Nhân viên,Bất kỳ
Kỹ Sư An Ninh Thông Tin (Đánh Giá và Kiểm Thử ATTT) ( 4 Người),Trung Tâm Chuyển Đổi Số - Tổng Công Ty Hạ Tầng Mạng,2/14/2022,1500,2000,Thương lượng,"An Toàn Thông Tin Mạng,Điện Tử Viễn Thông,Kiểm Thử,An Ninh Thông Tin,An Ninh Bảo Mật Mạng;",Hà Nội,toàn thời gian,Nhân viên,,Bất kỳ
Tuyển Dụng Kỹ Sư Hệ Thống Lương Lên Tới 30Tr,Công Ty TNHH Giải Pháp Viễn Thông Việt Nam,2/14/2022,500,650,Thương lượng,"Java,MySQL,Webservice,Server,Oracle Database;",Hà Nội,toàn thời gian,Nhân viên,25-99 Nhân viên,Bất kỳ
"Developer (Java, Go...)",Techcom Securities (Tcbs),2/14/2022,800,1500,$800 - $1500,"Java,Fintech,Go,Python,TypeScript;",Hà Nội,toàn thời gian,Mới tốt nghiệp/Thực tập sinh,100-499 Nhân viên,Bất kỳ
Nhân Viên Bảo Mật,Công Ty TNHH MTV Phát Triển Công Viên Phần Mềm Quang Trung,2/14/2022,300,1000,Thương lượng,"Telecommunication,Điện Tử Viễn Thông,Bảo Mật Thông Tin,An Ninh Thông Tin,CCNA;",Hồ Chí Minh,toàn thời gian,Nhân viên,,Bất kỳ
Lập Trình Viên (Java/ .NET ) – Chấp Nhận Sinh Viên Mới Ra Trường (Entry/fresher),Ngân Hàng Thương Mại Cổ Phần Bảo Việt,2/14/2022,500,800,$500 - $800,"Unix,Linux,Visual Basic,Java,.Net Core;",Hà Nội,toàn thời gian,Mới tốt nghiệp/Thực tập sinh,500-999 Nhân viên,Bất kỳ
Upto $2000 - Product Owner (Agile Project),Tastech Pte. LTD,2/14/2022,1000,2000,Thương lượng,"Product Development,Products Management,Strategic Roadmaps,Analytical Skill,Synthesis;",Hà Nội,toàn thời gian,Nhân viên,Less Than 10 Nhân viên,Bất kỳ
